TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,Expenses,Coast,,,
1,5/4/2025,1034,2059,402,0,2048.2,70,East,,,
2,5/4/2025,1066,2048,403,1,321.87,3839,West,,,East
3,5/4/2025,1116,2041,403,3,3216.84,501,East,,,West
4,5/4/2025,1071,2096,404,2,1613.23,4959,West,,,
5,5/4/2025,1020,2060,401,0,408.38,1060,West,,,
6,5/4/2025,1089,2028,401,0,1275.88,1552,West,,,
7,5/4/2025,1193,2003,402,1,346.66,1126,West,,,
8,5/4/2025,1005,2079,402,1,855.49,1329,East,,,
9,5/4/2025,1032,2060,401,1,735.08,506,East,,,
10,5/4/2025,1119,2089,403,2,661.63,4596,West,,,
11,5/4/2025,1042,2077,401,,505.65,4165,West,,,
12,5/4/2025,1079,2013,401,2,0,3578,West,,,
13,5/4/2025,1147,2086,404,3,4470.5,1200,East,,,
14,5/4/2025,1183,2025,401,1,503.32,443,West,,,
15,5/4/2025,1026,2089,403,0,413.52,4419,West,,,
16,5/4/2025,1144,2005,403,3,1715.12,410,East,,,
17,5/4/2025,1169,2047,401,2,535.97,1446,East,,,
18,5/4/2025,1003,2053,404,0,3660.9,644,West,,,
19,5/4/2025,1110,2046,404,1,30.09,4377,East,,,
20,5/4/2025,1111,2022,403,3,671.18,2371,East,,,
21,5/4/2025,1119,2055,403,2,?,2897,East,,,
22,5/4/2025,1062,2011,403,3,1229.22,4659,East,,,
23,5/4/2025,1062,2096,404,3,672.18,4813,East,,,
24,5/4/2025,1086,2003,404,2,924.43,3038,East,,,
25,5/4/2025,1046,2062,402,2,1981.95,5767,East,,,
26,5/4/2025,1066,2043,403,2,698.76,1538,West,,,
27,5/4/2025,1142,2001,402,0,1237.05,4850,West,,,
28,5/4/2025,1061,2092,404,3,482.21,2169,East,,,
29,5/4/2025,1142,2097,402,3,4210.5,4016,East,,,
30,5/4/2025,1165,2091,404,3,4528.95,1244,West,,,
31,2023-13-01,1004,2011,403,1,737.53,3870,West,,,
32,5/4/2025,1103,2088,402,2,0,1266,East,,,
33,5/4/2025,1169,2074,403,3,0,3834,West,,,
34,5/4/2025,1141,2067,403,3,872.85,5776,West,,,
35,5/4/2025,1190,2070,403,2,54.69,3653,West,,,
36,5/4/2025,1179,2058,403,2,1066.8,5062,West,,,
37,5/4/2025,1064,2029,401,1,12.16,1199,West,,,
38,5/4/2025,1080,2015,402,1,3037.36,4625,West,,,
39,5/4/2025,1055,2094,404,2,1578.72,3365,West,,,
40,5/4/2025,1185,2075,403,0,0,4176,East,,,
41,5/4/2025,9999,2037,402,2,288.11,3343,West,,,
42,5/4/2025,1045,2038,401,1,1667.72,2392,East,,,
43,5/4/2025,1070,2005,401,2,686.05,3691,East,,,
44,5/4/2025,1178,2016,404,0,0,3860,East,,,
45,5/4/2025,1003,2073,403,3,1498.29,1268,East,,,
46,5/4/2025,1122,2056,403,1,944.5,114,East,,,
47,5/4/2025,1013,2032,404,0,2836.8,3983,West,,,
48,5/4/2025,1016,2051,404,0,117.32,2533,West,,,
49,5/4/2025,1147,2080,401,1,0,650,West,,,
50,5/4/2025,1038,2072,403,0,840.6,782,East,,,
51,5/4/2025,1063,2015,404,1,1214.95,3493,East,,,
52,5/4/2025,1198,2066,404,3,516.06,4352,West,,,
53,5/4/2025,1113,2038,404,2,2223.62,692,West,,,
54,5/4/2025,1145,2079,401,0,1901.08,3840,East,,,
55,5/4/2025,1195,2026,402,2,507.74,44,East,,,
56,5/4/2025,1169,2010,402,1,140.11,2827,East,,,
57,5/4/2025,1044,2070,401,1,0,4746,East,,,
58,5/4/2025,1000,2052,404,3,2193.78,4908,West,,,
59,5/4/2025,1074,2004,402,2,741.8,3719,East,,,
60,5/4/2025,1180,2036,404,0,217.98,4449,East,,,
61,5/4/2025,1175,2029,403,1,36.48,3589,West,,,
